<<<<<<< HEAD
Nombre;Descripción
Celeridad;El vampiro se mueve más rápido de lo humanamente posible y tarda 5 minutos menos en llegar a los sitios.
Potencia;El vampiro aumenta su masa muscular deformando sus extremidades y pega más fuerte, aumentando 10 puntos su daño.
Fortaleza;El vampiro crea una armadura por debajo de su piel que hace que aguante más golpes, aumentando su armadura 10 puntos.
Protean;El vampiro obtiene la forma de un animal y uno de sus sentidos, aumenta su fuerza y resistencia 5 puntos.
Ofuscación;El vampiro se oculta a simple vista, pasando desapercibido.
Presencia;Del vampiro irradia un aura exuberante, dejando embelesado a quien lo mire y volviéndolo más propenso a cooperar con él.
Dominación;Nubla la memoria de quien lo mire y le hace olvidar lo que pasó en los últimos 15 minutos.
Auspex;El vampiro obtiene la habilidad de la premonición, pudiendo intuir lo que va a pasar en los próximos 15 minutos.
Animalismo;El vampiro que lo usa puede determinar si lo que le han dicho es verdad o no.
=======
﻿Nombre;Descripción;
Celeridad;El vampiro se mueve más rápido de lo humanamente posible y tarda 5 minutos menos en llegar a los sitios.;
Potencia;El vampiro aumenta su masa muscular deformando sus extremidades y pega más fuerte, aumentando 10 puntos su daño.;
Fortaleza;El vampiro crea una armadura por debajo de su piel que hace que aguante más golpes, aumentando su armadura 10 puntos.;
Protean;El vampiro obtiene la forma de un animal y uno de sus sentidos, aumenta su fuerza y resistencia 5 puntos.;
Ofuscación;El vampiro se oculta a simple vista, pasando desapercibido.;
Presencia;Del vampiro irradia un aura exuberante, dejando embelesado a quien lo mire y volviéndolo más propenso a cooperar con él.;
Dominación;Nubla la memoria de quien lo mire y le hace olvidar lo que pasó en los últimos 15 minutos.;
Auspex; El vampiro obtiene la habilidad de conocer a su rival, pudiendo ver información sobre él.;
Animalismo;El vampiro que lo usa puede determinar si lo que le han dicho es verdad o no, ademas de alguna informacion extra;
>>>>>>> 9cea0c64d5d58163fdeb4091f20fb321fa52c576
