INSERT INTO escena VALUES ('0', '/Imagenes/Cartel.jpg', 'Nosferatu');
INSERT INTO escena VALUES ('1', '/Imagenes/Bar.jpg', 'No');
INSERT INTO escena VALUES ('2', '/Imagenes/Camarera.jpg', 'Camarera');
INSERT INTO escena VALUES ('3', '/Imagenes/Bar.jpg', 'No');
INSERT INTO escena VALUES ('4', '/Imagenes/Camarera.jpg', 'Camarera');
INSERT INTO escena VALUES ('5', '/Imagenes/Camarera.jpg', 'Camarera');
INSERT INTO escena VALUES ('6', '/Imagenes/Camarera.jpg', 'Camarera');
INSERT INTO escena VALUES ('7', '/Imagenes/Camarera.jpg', 'Camarera');
INSERT INTO escena VALUES ('8', '/Imagenes/Camarera.jpg', 'Camarera');
INSERT INTO escena VALUES ('9', '/Imagenes/Camarera.jpg', 'Camarera');
INSERT INTO escena VALUES ('10', '/Imagenes/Camarera.jpg', 'Camarera');
INSERT INTO escena VALUES ('11', '/Imagenes/Camarera.jpg', 'Camarera');
INSERT INTO escena VALUES ('12', '/Imagenes/Camarera.jpg', 'Camarera');
INSERT INTO escena VALUES ('13', '/Imagenes/Cliente.jpg', 'Cliente');
INSERT INTO escena VALUES ('14', '/Imagenes/Cliente.jpg', 'Cliente');
INSERT INTO escena VALUES ('15', '/Imagenes/Cliente.jpg', 'Cliente');
INSERT INTO escena VALUES ('16', '/Imagenes/Cliente.jpg', 'Cliente');
INSERT INTO escena VALUES ('17', '/Imagenes/Cliente.jpg', 'Cliente');
INSERT INTO escena VALUES ('18', '/Imagenes/Cliente.jpg', 'Cliente');
INSERT INTO escena VALUES ('19', '/Imagenes/Cliente.jpg', 'Cliente');
INSERT INTO escena VALUES ('20', '/Imagenes/Dueño.jpg', 'Dueño');
INSERT INTO escena VALUES ('21', '/Imagenes/Dueño.jpg', 'Dueño');
INSERT INTO escena VALUES ('22', '/Imagenes/Dueño.jpg', 'Dueño');
INSERT INTO escena VALUES ('23', '/Imagenes/Dueño.jpg', 'Dueño');
INSERT INTO escena VALUES ('24', '/Imagenes/Dueño.jpg', 'Dueño');
INSERT INTO escena VALUES ('25', '/Imagenes/Dueño.jpg', 'Dueño');
INSERT INTO escena VALUES ('26', '/Imagenes/Dueño.jpg', 'Dueño');
